                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.65725,                 1.5628,                0.70552,                 1.1171,                0.92799,                0.97222,                0.96513,                0.86622,                0.92799,                0.97222,                0.96513,                0.81582,                 0.4994,                0.63637,                0.48452,                 1.0367,              0.0004142,              0.0004142,              0.0004142
                     54,                0.64935,                 1.5059,                0.69054,                 1.1086,                0.92747,                0.88194,                0.95467,                0.85537,                0.92747,                0.88194,                0.95467,                 0.8228,                 0.4566,                0.70331,                0.59802,                  1.014,             0.00041255,             0.00041255,             0.00041255
                     55,                0.69846,                 1.5755,                0.73142,                 1.1687,                0.92973,                0.95903,                0.96514,                0.83408,                0.92973,                0.95903,                0.96514,                0.82743,                0.50761,                0.58341,                0.47428,                 1.0532,              0.0004109,              0.0004109,              0.0004109
                     56,                0.65188,                 1.5516,                0.68091,                 1.1017,                      1,                0.95072,                0.97249,                0.85076,                      1,                0.95072,                0.97249,                0.84961,                0.52821,                0.71275,                0.40793,                 1.0462,             0.00040925,             0.00040925,             0.00040925
                     57,                0.63443,                 1.2818,                0.66933,                 1.0828,                0.99306,                0.97222,                0.97338,                0.85645,                0.99306,                0.97222,                0.97338,                0.84457,                0.50081,                 0.6535,                0.38378,                 1.0613,              0.0004076,              0.0004076,              0.0004076
                     58,                0.62504,                 1.4983,                0.66057,                 1.0955,                0.98731,                0.97222,                0.97306,                0.75367,                0.98731,                0.97222,                0.97306,                0.76849,                 0.6405,                 1.3236,                0.57839,                 1.2454,             0.00040595,             0.00040595,             0.00040595
                     59,                0.68656,                 1.5655,                0.79255,                 1.1524,                0.98915,                0.97222,                0.97158,                0.77995,                0.98915,                0.97222,                0.97158,                0.80062,                0.64095,                0.73232,                0.43346,                 1.2113,              0.0004043,              0.0004043,              0.0004043
                     60,                0.70245,                   1.47,                0.75862,                 1.1171,                0.99598,                0.97039,                0.97258,                0.80931,                0.99598,                0.97039,                0.97258,                0.80982,                0.56462,                 0.6623,                0.46023,                 1.1051,             0.00040265,             0.00040265,             0.00040265
                     61,                0.67992,                 1.8478,                0.78916,                 1.1286,                0.99133,                0.97222,                0.97185,                0.83507,                0.99133,                0.97222,                0.97185,                0.79703,                0.50804,                0.82349,                0.39316,                 1.0656,               0.000401,               0.000401,               0.000401
                     62,                0.61404,                 1.4238,                0.66295,                 1.0795,                0.99018,                0.97222,                0.97182,                0.86075,                0.96112,                0.94444,                0.93583,                0.81574,                0.50227,                0.74955,                0.39006,                 1.0861,             0.00039935,             0.00039935,             0.00039935
                     63,                0.59553,                 1.3044,                0.60089,                 1.0745,                0.98647,                0.96791,                0.97086,                0.84661,                0.95785,                0.94013,                0.91913,                0.82288,                0.50157,                0.87908,                0.40233,                 1.0364,              0.0003977,              0.0003977,              0.0003977
                     64,                0.63361,                 1.3599,                0.67823,                 1.1333,                0.98438,                0.97222,                0.97086,                0.87367,                0.98438,                0.97222,                0.97086,                0.80912,                0.44764,                0.68898,                0.51261,                0.99112,             0.00039605,             0.00039605,             0.00039605
                     65,                0.62036,                 1.3672,                0.67355,                 1.0996,                0.99292,                0.97222,                0.97389,                0.88804,                0.99292,                0.97222,                0.97389,                0.84732,                 0.4159,                0.74924,                0.39911,                0.97541,              0.0003944,              0.0003944,              0.0003944
                     66,                0.60559,                 1.4594,                0.67075,                 1.0713,                 0.9974,                 0.9704,                0.97376,                0.85915,                 0.9974,                 0.9704,                0.97376,                 0.8626,                0.48935,                0.63694,                0.41458,                 1.0252,             0.00039275,             0.00039275,             0.00039275
                     67,                0.65379,                 1.5132,                0.68979,                 1.1107,                0.96499,                0.97222,                0.97338,                0.87222,                0.96499,                0.97222,                0.97338,                0.84373,                0.44679,                 0.5959,                0.44059,                  0.983,              0.0003911,              0.0003911,              0.0003911
                     68,                0.66646,                 1.3389,                 0.6647,                 1.1083,                0.98992,                0.97222,                0.97364,                0.87046,                0.98992,                0.97222,                0.97364,                0.82956,                 0.4726,                0.56422,                0.35193,                0.99982,             0.00038945,             0.00038945,             0.00038945
                     69,                0.62764,                 1.4068,                0.64976,                 1.1032,                0.99072,                0.97122,                0.97656,                 0.8792,                0.99072,                0.97122,                0.97656,                0.86381,                0.47736,                0.53231,                0.39225,                 1.0128,              0.0003878,              0.0003878,              0.0003878
                     70,                0.57337,                 1.3283,                0.58296,                 1.0634,                0.93294,                0.97222,                0.96661,                0.88226,                0.93294,                0.97222,                0.96661,                0.85761,                0.43584,                0.56196,                0.44939,                0.99619,             0.00038615,             0.00038615,             0.00038615
                     71,                0.61189,                 1.5347,                0.62598,                 1.0867,                0.92072,                0.95471,                0.98123,                0.87247,                0.92072,                0.95471,                 0.9633,                0.84688,                0.45893,                0.51672,                  0.471,                0.98963,              0.0003845,              0.0003845,              0.0003845
                     72,                0.64677,                 1.4697,                0.65631,                 1.1341,                0.96491,                0.94444,                0.97092,                0.86059,                0.96491,                0.94444,                0.96723,                0.82142,                0.45187,                0.79064,                0.46194,                0.98627,             0.00038285,             0.00038285,             0.00038285
                     73,                0.61011,                 1.6988,                0.74739,                  1.075,                0.92189,                0.94995,                0.95746,                 0.8021,                0.88993,                0.92285,                0.91105,                0.78734,                0.51064,                0.96064,                0.51006,                 1.0507,              0.0003812,              0.0003812,              0.0003812
                     74,                0.65811,                 1.8788,                0.75924,                 1.1176,                0.96608,                0.96587,                0.97148,                0.84856,                0.96608,                0.96587,                0.97148,                0.80707,                0.48022,                0.71327,                0.44707,                 1.0745,             0.00037955,             0.00037955,             0.00037955
                     75,                 0.6626,                 1.3604,                0.75096,                 1.0982,                0.99514,                0.97222,                0.97249,                0.85731,                0.99514,                0.97222,                0.97249,                0.82751,                0.48207,                0.71724,                0.39578,                 1.0627,              0.0003779,              0.0003779,              0.0003779
                     76,                0.65267,                 1.5561,                 0.7419,                 1.1176,                 0.9913,                0.97222,                0.97306,                0.86482,                 0.9913,                0.97222,                0.97306,                0.84863,                0.46386,                0.56441,                0.37429,                 1.0451,             0.00037625,             0.00037625,             0.00037625
                     77,                0.62259,                 1.3626,                0.64971,                 1.0877,                   0.99,                0.97222,                0.97084,                0.87267,                   0.99,                0.97222,                0.97084,                 0.8609,                0.43471,                0.55982,                0.43565,                 0.9952,              0.0003746,              0.0003746,              0.0003746
                     78,                0.64724,                 1.3276,                0.66286,                 1.1314,                0.99237,                0.97222,                0.97051,                0.85188,                0.99237,                0.97222,                0.97051,                0.85751,                0.42039,                0.57174,                0.42287,                0.97059,             0.00037295,             0.00037295,             0.00037295
                     79,                0.59747,                  1.309,                0.70104,                 1.0518,                0.99589,                0.97222,                0.97147,                0.85561,                0.99589,                0.97222,                0.97147,                 0.8609,                0.42756,                0.52729,                0.43583,                0.98963,              0.0003713,              0.0003713,              0.0003713
